Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
ZNF689	16p11.2	-0.40	0.35	0.83	0.93	-0.75	4.76e-15	4.55e-14	(B) Positive
RLN2	9p24.1	-0.45	0.84	1.39	1.70	-1.29	4.79e-15	4.57e-14	(B) Positive
DIXDC1	11q23.1	0.01	0.37	0.41	0.38	-0.36	4.80e-15	4.59e-14	(B) Positive
PVALB	22q12.3	-3.37	-2.24	1.04	2.02	-1.14	4.83e-15	4.60e-14	(B) Positive
CHD1	5q15-q21.1	-0.77	-0.35	0.45	0.56	-0.42	4.84e-15	4.62e-14	(B) Positive
SLC25A38	3p22.1	-0.54	-0.04	0.56	0.51	-0.50	4.85e-15	4.62e-14	(B) Positive
PXK	3p14.3	-0.39	0.10	0.54	0.55	-0.49	4.97e-15	4.74e-14	(B) Positive
FRAT1	10q24.1	0.11	0.68	0.65	0.59	-0.57	5.06e-15	4.81e-14	(B) Positive
VPS54	2p15-p14	0.02	-0.48	0.58	0.45	0.50	5.07e-15	4.83e-14	(A) Negative
POMC	2p23.3	1.20	0.33	1.02	0.71	0.87	5.14e-15	4.89e-14	(A) Negative
DPP7	9q34.3	-0.33	0.21	0.61	0.54	-0.54	5.17e-15	4.91e-14	(B) Positive
VIPR1	3p22.1	0.63	1.35	0.82	0.73	-0.72	5.32e-15	5.05e-14	(B) Positive
VTCN1	1p13.1-p12	4.14	2.91	1.18	2.06	1.23	5.38e-15	5.11e-14	(A) Negative
ARSB	5q14.1	-0.65	-1.07	0.46	0.49	0.41	5.51e-15	5.23e-14	(A) Negative
SEMA3G	3p21.1	0.22	1.06	0.95	0.92	-0.84	5.55e-15	5.26e-14	(B) Positive
MET	7q31	-1.10	-2.01	1.06	0.75	0.91	5.62e-15	5.32e-14	(A) Negative
MEAF6	1p34.3	0.37	0.82	0.51	0.52	-0.46	5.79e-15	5.48e-14	(B) Positive
GART	21q22.11	-0.84	-1.35	0.59	0.44	0.51	5.79e-15	5.48e-14	(A) Negative
GFOD2	16q22.1	0.85	0.39	0.53	0.47	0.46	5.86e-15	5.55e-14	(A) Negative
CFAP44	3q13.2	-0.52	0.22	0.84	0.83	-0.74	5.87e-15	5.55e-14	(B) Positive
RND1	12q13.12	0.31	0.95	0.73	0.61	-0.64	5.90e-15	5.57e-14	(B) Positive
NRTN	19p13.3	0.58	-0.82	1.66	0.94	1.40	5.94e-15	5.61e-14	(A) Negative
ME2	18q21.2	-0.02	-0.64	0.72	0.59	0.62	6.03e-15	5.70e-14	(A) Negative
TRIM62	1p35.1	0.04	0.40	0.41	0.34	-0.36	6.09e-15	5.75e-14	(B) Positive
BCKDK	16p11.2	-0.59	-0.19	0.44	0.46	-0.40	6.15e-15	5.80e-14	(B) Positive
CEP57L1	6q21	-0.73	-1.30	0.65	0.55	0.57	6.18e-15	5.82e-14	(A) Negative
PISD	22q12.2	-0.20	0.31	0.55	0.69	-0.51	6.28e-15	5.91e-14	(B) Positive
H2AP	Xp11.4	-1.04	-0.55	0.51	0.71	-0.49	6.78e-15	6.38e-14	(B) Positive
CALCB	11p15.2	0.65	-0.97	1.92	1.14	1.62	6.86e-15	6.45e-14	(A) Negative
CYP39A1	6p12.3	1.26	-0.23	1.74	1.32	1.49	6.88e-15	6.47e-14	(A) Negative
PAFAH2	1p36.11	0.21	0.67	0.53	0.48	-0.46	7.05e-15	6.62e-14	(B) Positive
ARHGAP32	11q24.3	0.98	1.62	0.74	0.65	-0.64	7.06e-15	6.63e-14	(B) Positive
FAM89A	1q42.2	-0.27	-1.04	0.87	0.88	0.77	7.08e-15	6.64e-14	(A) Negative
SCN2B	11q23.3	0.34	0.87	0.56	0.76	-0.53	7.09e-15	6.65e-14	(B) Positive
PAX6	11p13	-0.59	-1.83	1.48	0.69	1.24	7.14e-15	6.69e-14	(A) Negative
RPIA	2p11.2	0.19	-0.29	0.56	0.41	0.48	7.18e-15	6.73e-14	(A) Negative
DNPEP	2q35	0.23	0.64	0.47	0.40	-0.41	7.20e-15	6.74e-14	(B) Positive
MYT1	20q13.33	-0.82	0.41	1.27	1.83	-1.22	7.23e-15	6.77e-14	(B) Positive
TAPT1-AS1	4p15.32	-1.99	-1.40	0.66	0.71	-0.59	7.33e-15	6.86e-14	(B) Positive
KIAA0319L	1p34.3	-0.34	0.16	0.55	0.59	-0.50	7.40e-15	6.92e-14	(B) Positive
HECA	6q24.1	1.87	1.36	0.59	0.47	0.51	7.44e-15	6.96e-14	(A) Negative
SLC22A18	11p15.4	-0.23	0.48	0.82	0.75	-0.71	7.45e-15	6.96e-14	(B) Positive
PIWIL4	11q21	0.94	-0.10	1.22	0.84	1.04	7.60e-15	7.10e-14	(A) Negative
RABL3	3q13.33	0.32	0.73	0.46	0.47	-0.41	7.63e-15	7.12e-14	(B) Positive
CLGN	4q31.1	-2.50	-0.79	1.94	1.88	-1.70	7.65e-15	7.14e-14	(B) Positive
TSPYL1	6q22.1	0.35	0.88	0.60	0.56	-0.53	7.67e-15	7.15e-14	(B) Positive
ZDHHC11	5p15.33	-1.78	-0.59	1.39	1.15	-1.20	7.68e-15	7.16e-14	(B) Positive
TGFA	2p13.3	0.37	-0.72	1.27	1.05	1.09	7.76e-15	7.23e-14	(A) Negative
UBXN2A	2p23.3	-0.23	-0.83	0.70	0.51	0.59	7.78e-15	7.24e-14	(A) Negative
ATOH7	10q21.3	0.24	-0.39	0.75	0.44	0.63	7.78e-15	7.24e-14	(A) Negative
MALT1	18q21.32	-0.35	-0.91	0.65	0.58	0.56	7.89e-15	7.34e-14	(A) Negative
CHST2	3q24	-0.55	-1.35	0.95	0.56	0.80	7.97e-15	7.41e-14	(A) Negative
TEAD2	19q13.33	0.98	0.24	0.80	1.01	0.74	7.98e-15	7.41e-14	(A) Negative
PWP2	21q22.3	-0.16	-0.60	0.51	0.40	0.44	8.01e-15	7.44e-14	(A) Negative
WDR54	2p13.1	-1.79	-1.15	0.74	0.67	-0.65	8.03e-15	7.45e-14	(B) Positive
TLCD3A	17p13.3	-0.48	-1.13	0.74	0.69	0.64	8.09e-15	7.50e-14	(A) Negative
GRK4	4p16.3	-0.48	0.21	0.78	0.73	-0.68	8.24e-15	7.64e-14	(B) Positive
S100B	21q22.3	-0.43	-2.30	2.22	1.37	1.86	8.39e-15	7.77e-14	(A) Negative
SLC7A1	13q12.3	-0.16	-0.72	0.65	0.57	0.57	8.41e-15	7.79e-14	(A) Negative
NDUFS4	5q11.2	-0.76	-0.29	0.55	0.47	-0.48	8.49e-15	7.85e-14	(B) Positive
FBLIM1	1p36.21	1.20	0.67	0.58	0.67	0.52	8.59e-15	7.95e-14	(A) Negative
SCRN3	2q31.1	0.09	0.55	0.53	0.51	-0.46	8.63e-15	7.98e-14	(B) Positive
PALM2AKAP2	9q31.3	0.37	-0.52	1.07	0.55	0.89	8.68e-15	8.02e-14	(A) Negative
ITPKA	15q15.1	-3.14	-2.37	0.78	1.19	-0.76	8.74e-15	8.07e-14	(B) Positive
NEK4	3p21.1	-0.01	0.36	0.40	0.49	-0.36	8.80e-15	8.12e-14	(B) Positive
PRTFDC1	10p12.1	0.63	-0.78	1.68	0.98	1.41	8.83e-15	8.14e-14	(A) Negative
KIRREL3	11q24.2	-0.42	-1.34	1.09	0.73	0.92	8.96e-15	8.26e-14	(A) Negative
FCGRT	19q13.33	1.21	1.85	0.72	0.72	-0.63	9.07e-15	8.35e-14	(B) Positive
ATG16L1	2q37.1	0.24	0.75	0.58	0.54	-0.51	9.08e-15	8.36e-14	(B) Positive
SH3GL3	15q25.2	-2.01	-3.46	1.74	0.97	1.45	9.14e-15	8.41e-14	(A) Negative
GZMB	14q12	4.08	3.18	1.01	1.07	0.90	9.18e-15	8.44e-14	(A) Negative
CST2	20p11.21	0.81	1.57	0.86	0.89	-0.76	9.19e-15	8.45e-14	(B) Positive
TP53TG1	7q21.12	0.21	1.05	1.00	0.70	-0.85	9.21e-15	8.47e-14	(B) Positive
BCL2L10	15q21.2	1.74	0.80	1.09	0.90	0.93	9.25e-15	8.49e-14	(A) Negative
CEP57	11q21	-0.67	-1.17	0.59	0.50	0.50	9.44e-15	8.66e-14	(A) Negative
NEIL3	4q34.3	-1.89	-2.72	0.92	1.05	0.83	9.45e-15	8.67e-14	(A) Negative
RGS20	8q11.23	-2.86	-3.91	1.25	0.73	1.05	9.50e-15	8.71e-14	(A) Negative
STEAP2	7q21.13	1.12	2.08	1.03	1.36	-0.96	1.02e-14	9.31e-14	(B) Positive
CALCOCO1	12q13.13	0.20	0.65	0.52	0.50	-0.45	1.02e-14	9.32e-14	(B) Positive
RGL3	19p13.2	-1.14	-0.09	1.20	1.08	-1.04	1.02e-14	9.32e-14	(B) Positive
CD38	4p15.32	-0.56	-2.13	1.81	1.68	1.58	1.03e-14	9.42e-14	(A) Negative
CCNB1IP1	14q11.2	-1.16	-1.76	0.70	0.56	0.59	1.04e-14	9.51e-14	(A) Negative
PXDC1	6p25.2	1.09	0.41	0.80	0.65	0.68	1.05e-14	9.58e-14	(A) Negative
SYNPO2L	10q22.2	-0.58	0.13	0.57	1.42	-0.70	1.05e-14	9.59e-14	(B) Positive
TRIM4	7q22.1	0.26	0.58	0.36	0.37	-0.32	1.06e-14	9.65e-14	(B) Positive
GMDS	6p25.3	0.33	-0.42	0.87	0.73	0.74	1.06e-14	9.68e-14	(A) Negative
TTF2	1p13.1	-0.90	-1.41	0.58	0.54	0.51	1.09e-14	9.94e-14	(A) Negative
CHST6	16q23.1	-0.52	-1.85	1.57	1.18	1.33	1.09e-14	9.96e-14	(A) Negative
MRPL15	8q11.23	0.24	-0.36	0.68	0.62	0.59	1.10e-14	1.00e-13	(A) Negative
FAM120C	Xp11.22	-0.05	-0.51	0.53	0.50	0.46	1.10e-14	1.01e-13	(A) Negative
PDGFD	11q22.3	1.81	2.55	0.81	0.97	-0.74	1.10e-14	1.01e-13	(B) Positive
CKAP2L	2q14.1	-0.79	-1.62	0.91	1.11	0.83	1.11e-14	1.01e-13	(A) Negative
SGO2	2q33.1	-1.02	-1.60	0.66	0.68	0.58	1.12e-14	1.02e-13	(A) Negative
NDUFB10	16p13.3	-0.18	0.28	0.52	0.48	-0.45	1.12e-14	1.02e-13	(B) Positive
ADSL	22q13.1	-0.74	-1.20	0.53	0.47	0.46	1.13e-14	1.03e-13	(A) Negative
PVR	19q13.31	-0.50	-1.10	0.70	0.60	0.60	1.13e-14	1.03e-13	(A) Negative
JOSD1	22q13.1	0.40	-0.08	0.56	0.50	0.48	1.14e-14	1.04e-13	(A) Negative
TPCN1	12q24.13	-0.66	-0.19	0.54	0.51	-0.47	1.14e-14	1.04e-13	(B) Positive
BRDT	1p22.1	0.24	1.01	0.79	1.22	-0.77	1.15e-14	1.04e-13	(B) Positive
GNL2	1p34.3	-0.22	-0.69	0.56	0.40	0.47	1.15e-14	1.04e-13	(A) Negative
ALDH6A1	14q24.3	0.14	0.77	0.72	0.71	-0.63	1.15e-14	1.04e-13	(B) Positive
ADI1	2p25.3	0.68	0.16	0.57	0.71	0.52	1.16e-14	1.05e-13	(A) Negative
PATZ1	22q12.2	0.57	1.12	0.65	0.52	-0.55	1.17e-14	1.06e-13	(B) Positive
ERMARD	6q27	-0.23	0.26	0.57	0.49	-0.49	1.18e-14	1.06e-13	(B) Positive
BAIAP2L1	7q21.3-q22.1	0.52	-0.07	0.64	0.79	0.58	1.18e-14	1.07e-13	(A) Negative
POLR1E	9p13.2	-0.33	-0.99	0.80	0.49	0.67	1.18e-14	1.07e-13	(A) Negative
KIF4B	5q33.2	-0.43	-0.93	0.56	0.61	0.50	1.20e-14	1.08e-13	(A) Negative
CADM2	3p12.1	0.46	1.16	0.69	1.17	-0.70	1.21e-14	1.09e-13	(B) Positive
OIP5	15q15.1	-1.68	-2.38	0.78	0.91	0.70	1.22e-14	1.10e-13	(A) Negative
SLC22A16	6q21	1.02	-0.12	1.36	0.92	1.14	1.22e-14	1.10e-13	(A) Negative
GPRC5A	12p13.1	-0.39	0.85	1.47	1.05	-1.24	1.22e-14	1.10e-13	(B) Positive
SCEL	13q22.3	1.53	-0.06	1.93	0.79	1.59	1.23e-14	1.11e-13	(A) Negative
ZNF540	19q13.13	0.41	1.15	0.83	0.93	-0.74	1.26e-14	1.14e-13	(B) Positive
BMS1	10q11.21	0.03	-0.36	0.46	0.36	0.39	1.28e-14	1.15e-13	(A) Negative
FZD4	11q14.2	-0.59	0.15	0.87	0.74	-0.74	1.29e-14	1.16e-13	(B) Positive
SPC25	2q31.1	-1.94	-2.64	0.76	0.94	0.69	1.29e-14	1.16e-13	(A) Negative
COL27A1	9q32	-0.04	-0.79	0.90	0.64	0.76	1.31e-14	1.18e-13	(A) Negative
GALNT4	12q21.33	0.16	0.67	0.57	0.60	-0.50	1.33e-14	1.19e-13	(B) Positive
MRPL11	11q13.2	-0.32	-0.77	0.52	0.48	0.45	1.33e-14	1.19e-13	(A) Negative
COTL1	16q24.1	0.04	-0.75	0.93	0.67	0.78	1.36e-14	1.22e-13	(A) Negative
RFX2	19p13.3	-0.17	0.36	0.59	0.64	-0.53	1.37e-14	1.22e-13	(B) Positive
UTP15	5q13.2	-0.66	-0.31	0.40	0.40	-0.35	1.39e-14	1.24e-13	(B) Positive
KLHL41	2q31.1	0.19	0.84	0.73	0.84	-0.65	1.39e-14	1.25e-13	(B) Positive
MRPS5	2q11.1	-0.42	-0.82	0.47	0.36	0.40	1.39e-14	1.25e-13	(A) Negative
TINAGL1	1p35.2	1.35	0.58	0.90	0.79	0.77	1.41e-14	1.26e-13	(A) Negative
NCAPG2	7q36.3	-1.33	-1.95	0.73	0.63	0.63	1.41e-14	1.26e-13	(A) Negative
GPN1	2p23.3	0.21	-0.24	0.54	0.34	0.45	1.43e-14	1.28e-13	(A) Negative
EPS15L1	19p13.11	-0.16	0.26	0.47	0.54	-0.42	1.43e-14	1.28e-13	(B) Positive
LTV1	6q24.2	-0.16	-0.66	0.59	0.43	0.50	1.47e-14	1.31e-13	(A) Negative
HAUS6	9p22.1	-0.96	-1.52	0.68	0.43	0.56	1.47e-14	1.31e-13	(A) Negative
MTERF4	2q37.3	-0.37	0.01	0.44	0.40	-0.38	1.47e-14	1.31e-13	(B) Positive
RNF32-DT	7q36.3	0.85	-0.18	1.19	1.17	1.03	1.53e-14	1.36e-13	(A) Negative
KCND3	1p13.2	0.20	0.60	0.44	0.60	-0.41	1.54e-14	1.37e-13	(B) Positive
ABHD14B	3p21.2	-0.32	0.17	0.57	0.51	-0.49	1.54e-14	1.37e-13	(B) Positive
CNOT8	5q33.2	-0.43	0.02	0.51	0.54	-0.45	1.58e-14	1.41e-13	(B) Positive
FDCSP	4q13.3	3.35	1.85	1.70	1.89	1.51	1.59e-14	1.41e-13	(A) Negative
PART1	5q12.1	0.89	-0.05	1.10	0.88	0.94	1.59e-14	1.41e-13	(A) Negative
PIR	Xp22.2	-1.11	-1.92	0.91	1.00	0.81	1.62e-14	1.44e-13	(A) Negative
ZDHHC17	12q21.2	-0.47	-0.10	0.44	0.39	-0.38	1.65e-14	1.46e-13	(B) Positive
SHC4	15q21.1	0.18	-1.72	2.29	1.46	1.90	1.66e-14	1.48e-13	(A) Negative
CHRM2	7q33	-0.30	-1.57	1.55	0.76	1.28	1.67e-14	1.48e-13	(A) Negative
NUDT18	8p21.3	0.11	0.72	0.71	0.67	-0.61	1.68e-14	1.49e-13	(B) Positive
PLK4	4q28.1	-1.23	-1.80	0.64	0.71	0.57	1.68e-14	1.49e-13	(A) Negative
TPSAB1	16p13.3	2.73	3.65	1.09	0.80	-0.92	1.71e-14	1.51e-13	(B) Positive
TASOR	3p14.3	-0.34	0.04	0.44	0.38	-0.37	1.72e-14	1.52e-13	(B) Positive
CABP4	11q13.2	0.20	0.56	0.36	0.60	-0.36	1.74e-14	1.54e-13	(B) Positive
FBXW4P1	22q11.23	0.21	0.69	0.55	0.59	-0.48	1.75e-14	1.54e-13	(B) Positive
DNAJC1	10p12.31	0.67	1.32	0.70	0.94	-0.65	1.76e-14	1.55e-13	(B) Positive
PRRG1	Xp21.1	0.58	-0.17	0.89	0.68	0.75	1.79e-14	1.58e-13	(A) Negative
KERA	12q21.33	0.64	1.21	0.62	0.81	-0.57	1.80e-14	1.58e-13	(B) Positive
SMG5	1q22	0.53	0.01	0.63	0.46	0.53	1.80e-14	1.59e-13	(A) Negative
FOSL1	11q13.1	-2.05	-2.52	0.56	0.39	0.46	1.83e-14	1.61e-13	(A) Negative
RUNX3	1p36.11	0.96	-0.06	1.18	1.05	1.01	1.84e-14	1.62e-13	(A) Negative
NUP205	7q33	-0.79	-1.31	0.61	0.48	0.52	1.85e-14	1.63e-13	(A) Negative
TFDP1	13q34	-0.07	-0.72	0.79	0.50	0.66	1.89e-14	1.66e-13	(A) Negative
DIO1	1p32.3	-1.10	0.82	2.20	2.28	-1.92	1.89e-14	1.67e-13	(B) Positive
AIG1	6q24.2	0.50	1.15	0.74	0.75	-0.65	1.90e-14	1.67e-13	(B) Positive
NDC1	1p32.3	-0.44	-1.04	0.68	0.67	0.59	1.91e-14	1.68e-13	(A) Negative
XPO4	13q12.11	-0.25	-0.65	0.47	0.41	0.40	1.96e-14	1.72e-13	(A) Negative
SNED1	2q37.3	-0.64	0.13	0.90	0.82	-0.77	1.97e-14	1.73e-13	(B) Positive
PGPEP1	19p13.11	-0.36	0.12	0.58	0.45	-0.48	1.98e-14	1.74e-13	(B) Positive
ANKRD45	1q25.1	0.95	-0.07	1.24	0.64	1.02	1.99e-14	1.74e-13	(A) Negative
XPO5	6p21.1	-0.28	-0.78	0.58	0.50	0.50	2.01e-14	1.76e-13	(A) Negative
RELL1	4p14	0.42	1.13	0.80	0.92	-0.71	2.03e-14	1.78e-13	(B) Positive
SLC6A11	3p25.3	-0.04	-0.71	0.78	0.69	0.67	2.03e-14	1.78e-13	(A) Negative
TJP3	19p13.3	1.38	2.03	0.78	0.58	-0.65	2.03e-14	1.78e-13	(B) Positive
WDR90	16p13.3	-0.61	-0.20	0.47	0.51	-0.41	2.06e-14	1.80e-13	(B) Positive
MUC15	11p14.2	1.33	-0.68	2.36	2.06	2.01	2.08e-14	1.82e-13	(A) Negative
CA13	8q21.2	0.64	-0.18	0.95	0.85	0.81	2.10e-14	1.83e-13	(A) Negative
E2F8	11p15.1	-0.88	-1.53	0.70	0.94	0.65	2.11e-14	1.84e-13	(A) Negative
ZNF174	16p13.3	0.15	0.54	0.45	0.44	-0.39	2.12e-14	1.85e-13	(B) Positive
ATG2B	14q32.2	0.02	0.43	0.49	0.44	-0.42	2.13e-14	1.85e-13	(B) Positive
ZNF20	19p13.2	0.35	0.90	0.65	0.55	-0.55	2.16e-14	1.89e-13	(B) Positive
ASB13	10p15.1	0.33	0.99	0.74	0.79	-0.65	2.17e-14	1.89e-13	(B) Positive
GINS1	20p11.21	-1.20	-1.89	0.79	0.78	0.69	2.18e-14	1.90e-13	(A) Negative
SLX9	21q22.3	-0.06	-0.55	0.59	0.47	0.50	2.19e-14	1.91e-13	(A) Negative
XK	Xp21.1	-2.17	-3.61	1.66	1.63	1.44	2.19e-14	1.91e-13	(A) Negative
IL20RB	3q22.3	-1.20	-2.03	0.97	0.95	0.84	2.27e-14	1.98e-13	(A) Negative
EPHB1	3q22.2	2.09	0.81	1.57	0.81	1.28	2.33e-14	2.03e-13	(A) Negative
CD46	1q32.2	0.35	0.95	0.72	0.55	-0.60	2.37e-14	2.06e-13	(B) Positive
SPAG17	1p12	0.88	1.90	1.06	1.61	-1.02	2.39e-14	2.08e-13	(B) Positive
FABP5	8q21.13	0.50	-0.64	1.34	1.23	1.14	2.45e-14	2.12e-13	(A) Negative
RNASEL	1q25.3	0.74	1.27	0.64	0.51	-0.53	2.45e-14	2.13e-13	(B) Positive
SEPTIN3	22q13.2	0.76	0.02	0.87	0.69	0.73	2.46e-14	2.13e-13	(A) Negative
PLA2G4A	1q31.1	-2.58	-3.99	1.73	0.98	1.41	2.46e-14	2.13e-13	(A) Negative
GATAD2A	19p13.11	0.13	-0.39	0.61	0.51	0.51	2.46e-14	2.13e-13	(A) Negative
RNF182	6p23	-2.99	-4.77	2.18	1.16	1.78	2.47e-14	2.14e-13	(A) Negative
SEPSECS	4p15.2	-0.54	-0.04	0.59	0.51	-0.50	2.48e-14	2.15e-13	(B) Positive
GFM2	5q13.3	-0.71	-0.36	0.39	0.42	-0.34	2.49e-14	2.16e-13	(B) Positive
SPOP	17q21.33	0.05	0.52	0.56	0.53	-0.48	2.65e-14	2.29e-13	(B) Positive
IVNS1ABP	1q25.3	-0.21	-0.64	0.50	0.44	0.43	2.71e-14	2.34e-13	(A) Negative
TPI1	12p13.31	-0.92	-1.46	0.64	0.46	0.53	2.71e-14	2.34e-13	(A) Negative
BRIP1	17q23.2	-1.50	-2.28	0.91	0.90	0.78	2.72e-14	2.35e-13	(A) Negative
PCYOX1L	5q32	-0.71	-0.15	0.66	0.57	-0.55	2.72e-14	2.35e-13	(B) Positive
STK39	2q24.3	-0.41	0.42	0.99	0.79	-0.83	2.72e-14	2.35e-13	(B) Positive
LRRFIP1	2q37.3	0.01	0.36	0.43	0.32	-0.36	2.73e-14	2.36e-13	(B) Positive
TSNAXIP1	16q22.1	0.43	1.18	0.87	0.85	-0.75	2.74e-14	2.36e-13	(B) Positive
HNMT	2q22.1	-0.03	0.60	0.74	0.70	-0.63	2.75e-14	2.37e-13	(B) Positive
C16ORF74	16q24.1	-0.81	0.21	1.22	0.93	-1.02	2.76e-14	2.37e-13	(B) Positive
SOSTDC1	7p21.2	1.32	-0.89	2.63	2.13	2.21	2.76e-14	2.38e-13	(A) Negative
ARF3	12q13.12	-0.01	0.35	0.42	0.39	-0.36	2.79e-14	2.40e-13	(B) Positive
TRAK1	3p22.1	-0.43	-0.01	0.50	0.43	-0.42	2.79e-14	2.40e-13	(B) Positive
C18ORF32	18q21.1	0.59	1.11	0.60	0.59	-0.52	2.82e-14	2.42e-13	(B) Positive
ANKMY2	7p21.1	-0.99	-0.47	0.61	0.51	-0.52	2.84e-14	2.44e-13	(B) Positive
TMEM74	8q23.1	-0.38	-1.35	1.19	0.65	0.97	2.85e-14	2.45e-13	(A) Negative
RFX6	6q22.1	0.44	1.32	0.90	1.48	-0.89	2.85e-14	2.45e-13	(B) Positive
PEX7	6q23.3	0.40	0.94	0.63	0.60	-0.54	2.85e-14	2.45e-13	(B) Positive
ZNF442	19p13.2	-0.16	0.47	0.74	0.68	-0.63	2.87e-14	2.46e-13	(B) Positive
SEC14L4	22q12.2	-1.25	-2.84	1.95	1.03	1.59	2.93e-14	2.51e-13	(A) Negative
FDXR	17q25.1	-1.07	-0.49	0.67	0.73	-0.59	2.95e-14	2.52e-13	(B) Positive
MED30	8q24.11	0.46	-0.23	0.82	0.72	0.69	2.95e-14	2.52e-13	(A) Negative
GARS1	7p14.3	-0.50	-1.02	0.63	0.51	0.52	2.95e-14	2.52e-13	(A) Negative
SCRG1	4q34.1	2.33	0.26	2.54	1.45	2.08	2.98e-14	2.54e-13	(A) Negative
B3GNT4	12q24.31	0.24	-0.54	0.91	0.87	0.78	3.00e-14	2.56e-13	(A) Negative
FEN1	11q12.2	-0.95	-1.50	0.64	0.67	0.56	3.00e-14	2.56e-13	(A) Negative
CALCOCO2	17q21.32	-0.04	0.51	0.65	0.60	-0.55	3.00e-14	2.56e-13	(B) Positive
OCA2	15q12-q13.1	-2.38	-4.26	2.32	1.18	1.88	3.08e-14	2.62e-13	(A) Negative
TSPAN15	10q22.1	1.62	2.52	1.09	0.82	-0.91	3.08e-14	2.63e-13	(B) Positive
IGFBP2	2q35	-1.53	-0.32	1.44	1.17	-1.21	3.11e-14	2.65e-13	(B) Positive
RLN1	9p24.1	0.39	1.33	1.04	1.28	-0.93	3.18e-14	2.71e-13	(B) Positive
NANOGP1	12p13.31	-2.54	-3.53	1.19	0.96	0.99	3.19e-14	2.72e-13	(A) Negative
TOMM5	9p13.2	-0.41	-0.89	0.58	0.42	0.48	3.20e-14	2.73e-13	(A) Negative
ITPK1	14q32.12	-0.06	0.43	0.58	0.50	-0.49	3.22e-14	2.74e-13	(B) Positive
CIMAP3	1p13.2	1.68	2.43	0.83	1.04	-0.75	3.25e-14	2.77e-13	(B) Positive
RASAL2	1q25.2	1.60	1.05	0.68	0.48	0.56	3.30e-14	2.81e-13	(A) Negative
HYPK	15q15.3	-0.08	0.39	0.55	0.53	-0.47	3.32e-14	2.82e-13	(B) Positive
RHOQ	2p21	0.81	0.34	0.55	0.54	0.47	3.34e-14	2.84e-13	(A) Negative
CYB5R2	11p15.4	1.89	0.96	1.09	1.07	0.93	3.34e-14	2.84e-13	(A) Negative
APP	21q21.3	1.37	0.59	0.91	0.90	0.78	3.35e-14	2.84e-13	(A) Negative
DNAJC2	7q22.1	-0.54	-1.01	0.56	0.46	0.47	3.36e-14	2.85e-13	(A) Negative
KLHL36	16q24.1	0.33	-0.21	0.65	0.51	0.54	3.40e-14	2.88e-13	(A) Negative
CHST11	12q23.3	-0.02	-0.72	0.81	0.81	0.70	3.41e-14	2.89e-13	(A) Negative
TRIM47	17q25.1	1.10	0.40	0.84	0.65	0.70	3.46e-14	2.93e-13	(A) Negative
WDFY3	4q21.23	0.67	1.05	0.45	0.40	-0.38	3.47e-14	2.93e-13	(B) Positive
KLK8	19q13.41	1.20	-1.23	2.95	2.10	2.43	3.52e-14	2.98e-13	(A) Negative
GLCCI1	7p21.3	-1.18	-0.41	0.92	0.75	-0.77	3.57e-14	3.02e-13	(B) Positive
ZMAT1	Xq22.1	0.79	1.62	0.97	0.94	-0.83	3.68e-14	3.11e-13	(B) Positive
FANCC	9q22.32	0.35	-0.19	0.64	0.56	0.54	3.69e-14	3.11e-13	(A) Negative
SYTL5	Xp11.4	-0.93	-0.39	0.62	0.72	-0.55	3.72e-14	3.14e-13	(B) Positive
NPEPPS	17q21.32	-0.26	0.12	0.42	0.52	-0.38	3.73e-14	3.14e-13	(B) Positive
KIF1A	2q37.3	0.48	-0.82	1.59	0.99	1.30	3.74e-14	3.16e-13	(A) Negative
XYLT2	17q21.33	-0.39	0.24	0.75	0.67	-0.64	3.78e-14	3.19e-13	(B) Positive
MCUR1	6p23	0.08	-0.45	0.63	0.55	0.53	3.84e-14	3.24e-13	(A) Negative
ENPP5	6p21.1	2.56	3.69	1.27	1.53	-1.13	3.85e-14	3.24e-13	(B) Positive
TM9SF1	14q12	-0.16	0.35	0.61	0.51	-0.51	3.87e-14	3.26e-13	(B) Positive
EIF4E2	2q37.1	-0.14	-0.48	0.41	0.38	0.35	3.87e-14	3.26e-13	(A) Negative
QSER1	11p13	0.15	-0.49	0.77	0.55	0.63	3.91e-14	3.29e-13	(A) Negative
MRPL37	1p32.3	-0.23	-0.66	0.52	0.42	0.43	3.94e-14	3.31e-13	(A) Negative
SLC25A19	17q25.1	-0.22	-0.68	0.53	0.58	0.46	3.97e-14	3.33e-13	(A) Negative
HSPA1L	6p21.33	0.69	1.17	0.57	0.52	-0.49	3.98e-14	3.34e-13	(B) Positive
SEC16A	9q34.3	0.48	1.05	0.68	0.52	-0.56	3.98e-14	3.34e-13	(B) Positive
SERTAD2	2p14	0.46	0.00	0.54	0.52	0.46	4.03e-14	3.38e-13	(A) Negative
CCDC87	11q13.2	0.96	1.77	0.96	0.93	-0.81	4.04e-14	3.39e-13	(B) Positive
CHD1L	1q21.1	-0.82	-1.33	0.62	0.56	0.52	4.05e-14	3.39e-13	(A) Negative
SUMF1	3p26.1	1.05	1.65	0.73	0.59	-0.61	4.09e-14	3.42e-13	(B) Positive
KLK7	19q13.41	2.87	1.08	2.19	1.57	1.80	4.14e-14	3.47e-13	(A) Negative
